"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","1995",57.28006,
"AUS","GGDEBT","TOT","PC_GDP","A","1996",55.37241,
"AUS","GGDEBT","TOT","PC_GDP","A","1997",54.54287,
"AUS","GGDEBT","TOT","PC_GDP","A","1998",52.37439,
"AUS","GGDEBT","TOT","PC_GDP","A","1999",44.71105,
"AUS","GGDEBT","TOT","PC_GDP","A","2000",41.12131,
"AUS","GGDEBT","TOT","PC_GDP","A","2001",40.41459,
"AUS","GGDEBT","TOT","PC_GDP","A","2002",38.69263,
"AUS","GGDEBT","TOT","PC_GDP","A","2003",35.58611,
"AUS","GGDEBT","TOT","PC_GDP","A","2004",32.14331,
"AUS","GGDEBT","TOT","PC_GDP","A","2005",29.98446,
"AUS","GGDEBT","TOT","PC_GDP","A","2006",29.25673,
"AUS","GGDEBT","TOT","PC_GDP","A","2007",28.03118,
"AUS","GGDEBT","TOT","PC_GDP","A","2008",29.9901,
"AUS","GGDEBT","TOT","PC_GDP","A","2009",38.68695,
"AUS","GGDEBT","TOT","PC_GDP","A","2010",41.91847,
"AUS","GGDEBT","TOT","PC_GDP","A","2011",46.31153,
"AUS","GGDEBT","TOT","PC_GDP","A","2012",59.24876,
"AUS","GGDEBT","TOT","PC_GDP","A","2013",55.76767,
"AUS","GGDEBT","TOT","PC_GDP","A","2014",61.37113,
"AUS","GGDEBT","TOT","PC_GDP","A","2015",64.04992,
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.08564,
"AUT","GGDEBT","TOT","PC_GDP","A","1995",69.17403,
"AUT","GGDEBT","TOT","PC_GDP","A","1996",69.71158,
"AUT","GGDEBT","TOT","PC_GDP","A","1997",65.372,
"AUT","GGDEBT","TOT","PC_GDP","A","1998",67.11701,
"AUT","GGDEBT","TOT","PC_GDP","A","1999",70.72529,
"AUT","GGDEBT","TOT","PC_GDP","A","2000",71.06709,
"AUT","GGDEBT","TOT","PC_GDP","A","2001",72.1219,
"AUT","GGDEBT","TOT","PC_GDP","A","2002",74.03432,
"AUT","GGDEBT","TOT","PC_GDP","A","2003",72.54121,
"AUT","GGDEBT","TOT","PC_GDP","A","2004",71.77602,
"AUT","GGDEBT","TOT","PC_GDP","A","2005",76.25182,
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.68636,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.96463,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.19278,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.33044,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.54397,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.4737,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.33756,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",94.3597,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",101.7912,
"AUT","GGDEBT","TOT","PC_GDP","A","2015",100.4227,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",101.9989,
"BEL","GGDEBT","TOT","PC_GDP","A","1995",140.1731,
"BEL","GGDEBT","TOT","PC_GDP","A","1996",142.0755,
"BEL","GGDEBT","TOT","PC_GDP","A","1997",136.6321,
"BEL","GGDEBT","TOT","PC_GDP","A","1998",137.7992,
"BEL","GGDEBT","TOT","PC_GDP","A","1999",126.4604,
"BEL","GGDEBT","TOT","PC_GDP","A","2000",120.3566,
"BEL","GGDEBT","TOT","PC_GDP","A","2001",118.9735,
"BEL","GGDEBT","TOT","PC_GDP","A","2002",118.1161,
"BEL","GGDEBT","TOT","PC_GDP","A","2003",114.5825,
"BEL","GGDEBT","TOT","PC_GDP","A","2004",110.2263,
"BEL","GGDEBT","TOT","PC_GDP","A","2005",108.0509,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",100.1039,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",93.85372,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",101.1404,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",109.4878,
