"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","THND_USD_CAP","A","2009",13839.18,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2010",14206.09,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2011",14594.17,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2012",14795.51,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2013",16198.01,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2014",16423.32,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2015",16641.18,"E"
"AUS","GGREV","TOT","THND_USD_CAP","A","2016",16976.78,"E"
"AUS","GGREV","TOT","PC_GDP","A","1970",24.6104605001985,
"AUS","GGREV","TOT","PC_GDP","A","1971",25.3861893733276,
"AUS","GGREV","TOT","PC_GDP","A","1972",25.6519553634262,
"AUS","GGREV","TOT","PC_GDP","A","1973",26.3936140199479,
"AUS","GGREV","TOT","PC_GDP","A","1974",28.1159949958533,
"AUS","GGREV","TOT","PC_GDP","A","1975",29.2346147837477,
"AUS","GGREV","TOT","PC_GDP","A","1976",29.5543987506507,
"AUS","GGREV","TOT","PC_GDP","A","1977",29.4280838568827,
"AUS","GGREV","TOT","PC_GDP","A","1978",28.8441100558377,
"AUS","GGREV","TOT","PC_GDP","A","1979",29.8437383733909,
"AUS","GGREV","TOT","PC_GDP","A","1980",30.3119555570165,
"AUS","GGREV","TOT","PC_GDP","A","1981",30.1469499344991,
"AUS","GGREV","TOT","PC_GDP","A","1982",31.37063084977,
"AUS","GGREV","TOT","PC_GDP","A","1983",31.4501347708895,
"AUS","GGREV","TOT","PC_GDP","A","1984",33.1106996147543,
"AUS","GGREV","TOT","PC_GDP","A","1985",33.8744210182391,
"AUS","GGREV","TOT","PC_GDP","A","1986",35.1947465511991,
"AUS","GGREV","TOT","PC_GDP","A","1987",34.679854049749,
"AUS","GGREV","TOT","PC_GDP","A","1988",34.0793597249124,
"AUS","GGREV","TOT","PC_GDP","A","1989",32.9142879777389,
"AUS","GGREV","TOT","PC_GDP","A","1990",33.2938517244457,
"AUS","GGREV","TOT","PC_GDP","A","1991",43.1449274333099,
"AUS","GGREV","TOT","PC_GDP","A","1992",42.4586348135183,
"AUS","GGREV","TOT","PC_GDP","A","1993",44.6255652271,
"AUS","GGREV","TOT","PC_GDP","A","1994",44.1721748519412,
"AUS","GGREV","TOT","PC_GDP","A","1995",43.5055790477237,
"AUS","GGREV","TOT","PC_GDP","A","1996",43.6023634454727,
"AUS","GGREV","TOT","PC_GDP","A","1997",42.6987384734151,
"AUS","GGREV","TOT","PC_GDP","A","1998",42.4328131125958,
"AUS","GGREV","TOT","PC_GDP","A","1999",42.5294957018063,
"AUS","GGREV","TOT","PC_GDP","A","2000",39.7235394442978,
"AUS","GGREV","TOT","PC_GDP","A","2001",39.0292104310273,
"AUS","GGREV","TOT","PC_GDP","A","2002",39.1988538996887,
"AUS","GGREV","TOT","PC_GDP","A","2003",39.2544887034055,
"AUS","GGREV","TOT","PC_GDP","A","2004",39.2981184172824,
"AUS","GGREV","TOT","PC_GDP","A","2005",39.6434134529923,
"AUS","GGREV","TOT","PC_GDP","A","2006",38.1185924461708,
"AUS","GGREV","TOT","PC_GDP","A","2007",36.0464967930753,
"AUS","GGREV","TOT","PC_GDP","A","2008",33.8964731837031,
"AUS","GGREV","TOT","PC_GDP","A","2009",33.7977136109505,
"AUS","GGREV","TOT","PC_GDP","A","2010",33.6614060481439,
"AUS","GGREV","TOT","PC_GDP","A","2011",33.4625868519508,
"AUS","GGREV","TOT","PC_GDP","A","2012",34.3397992805183,
"AUS","GGREV","TOT","PC_GDP","A","2013",34.5301596214005,
"AUS","GGREV","TOT","PC_GDP","A","2014",34.9423709328459,
"AUS","GGREV","TOT","PC_GDP","A","2015",35.5659542878904,
"AUS","GGREV","TOT","PC_GDP","A","2016",35.2966050501389,
"AUT","GGREV","TOT","THND_USD_CAP","A","2009",20067.37,
"AUT","GGREV","TOT","THND_USD_CAP","A","2010",20390.64,
"AUT","GGREV","TOT","THND_USD_CAP","A","2011",21533.5,
"AUT","GGREV","TOT","THND_USD_CAP","A","2012",22887.8,
"AUT","GGREV","TOT","THND_USD_CAP","A","2013",23736.46,
"AUT","GGREV","TOT","THND_USD_CAP","A","2014",24192.8,
"AUT","GGREV","TOT","THND_USD_CAP","A","2015",24924.77,
"AUT","GGREV","TOT","THND_USD_CAP","A","2016",24790.14,
"AUT","GGREV","TOT","PC_GDP","A","1995",49.6721028827847,
"AUT","GGREV","TOT","PC_GDP","A","1996",51.1207790824718,
"AUT","GGREV","TOT","PC_GDP","A","1997",49.6963180470758,
"AUT","GGREV","TOT","PC_GDP","A","1998",49.5280157879986,
"AUT","GGREV","TOT","PC_GDP","A","1999",49.4656282066992,
"AUT","GGREV","TOT","PC_GDP","A","2000",48.6283187663595,
"AUT","GGREV","TOT","PC_GDP","A","2001",50.6941296654331,
"AUT","GGREV","TOT","PC_GDP","A","2002",49.6731297413785,
"AUT","GGREV","TOT","PC_GDP","A","2003",49.4845651167507,
"AUT","GGREV","TOT","PC_GDP","A","2004",48.9001282699533,
"AUT","GGREV","TOT","PC_GDP","A","2005",48.6471693027056,
"AUT","GGREV","TOT","PC_GDP","A","2006",47.844492913175,
