"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GGEXP","TOT","THND_USD_CAP","A","2009",20169.84,
"USA","GGEXP","TOT","THND_USD_CAP","A","2010",20739.88,
"USA","GGEXP","TOT","THND_USD_CAP","A","2011",20800.37,
"USA","GGEXP","TOT","THND_USD_CAP","A","2012",20567.78,
"USA","GGEXP","TOT","THND_USD_CAP","A","2013",20425.04,
"USA","GGEXP","TOT","THND_USD_CAP","A","2014",20801.28,
"USA","GGEXP","TOT","THND_USD_CAP","A","2015",21218.22,
"USA","GGEXP","TOT","THND_USD_CAP","A","2016",21779.51,
"USA","GGEXP","TOT","PC_GDP","A","1970",34.0122169304498,
"USA","GGEXP","TOT","PC_GDP","A","1971",34.3009325466487,
"USA","GGEXP","TOT","PC_GDP","A","1972",34.129076477895,
"USA","GGEXP","TOT","PC_GDP","A","1973",33.0160883525871,
"USA","GGEXP","TOT","PC_GDP","A","1974",34.1787484060497,
"USA","GGEXP","TOT","PC_GDP","A","1975",36.4771514154287,
"USA","GGEXP","TOT","PC_GDP","A","1976",35.0399209197763,
"USA","GGEXP","TOT","PC_GDP","A","1977",34.0967740852973,
"USA","GGEXP","TOT","PC_GDP","A","1978",33.2973205560113,
"USA","GGEXP","TOT","PC_GDP","A","1979",33.1412465052241,
"USA","GGEXP","TOT","PC_GDP","A","1980",34.9378254361128,
"USA","GGEXP","TOT","PC_GDP","A","1981",35.1037198890299,
"USA","GGEXP","TOT","PC_GDP","A","1982",37.3025816810867,
"USA","GGEXP","TOT","PC_GDP","A","1983",37.3328711920414,
"USA","GGEXP","TOT","PC_GDP","A","1984",36.1728792561078,
"USA","GGEXP","TOT","PC_GDP","A","1985",36.7308190471283,
"USA","GGEXP","TOT","PC_GDP","A","1986",37.1434733685464,
"USA","GGEXP","TOT","PC_GDP","A","1987",36.8880688478563,
"USA","GGEXP","TOT","PC_GDP","A","1988",36.0356118812122,
"USA","GGEXP","TOT","PC_GDP","A","1989",36.120712099437,
"USA","GGEXP","TOT","PC_GDP","A","1990",37.0587677514291,
"USA","GGEXP","TOT","PC_GDP","A","1991",37.9119808527411,
"USA","GGEXP","TOT","PC_GDP","A","1992",38.7392899452984,
"USA","GGEXP","TOT","PC_GDP","A","1993",38.1749331779555,
"USA","GGEXP","TOT","PC_GDP","A","1994",37.2201010979298,
"USA","GGEXP","TOT","PC_GDP","A","1995",37.1774098845781,
"USA","GGEXP","TOT","PC_GDP","A","1996",36.486427929381,
"USA","GGEXP","TOT","PC_GDP","A","1997",35.372024094748,
"USA","GGEXP","TOT","PC_GDP","A","1998",34.4997803979418,
"USA","GGEXP","TOT","PC_GDP","A","1999",34.0574584002027,
"USA","GGEXP","TOT","PC_GDP","A","2000",33.7201411911719,
"USA","GGEXP","TOT","PC_GDP","A","2001",34.9950724094092,
"USA","GGEXP","TOT","PC_GDP","A","2002",36.0621721821534,
"USA","GGEXP","TOT","PC_GDP","A","2003",36.6081209868757,
"USA","GGEXP","TOT","PC_GDP","A","2004",36.3512274776683,
"USA","GGEXP","TOT","PC_GDP","A","2005",36.4456381628881,
"USA","GGEXP","TOT","PC_GDP","A","2006",36.1880811969612,
"USA","GGEXP","TOT","PC_GDP","A","2007",36.9464625955828,
