COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
ARG,Argentina,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,2E-10,2E-10,2E-10,5E-10,7E-10,8E-10,1E-09,1.1E-09,1.3E-09,1.4E-09,1.5E-09,2.1E-09,3.4E-09,5.5E-09,7.2E-09,2.11E-08,1.125E-07,2.921E-07,7.55E-07,1.9163E-06,5.0857E-06,1.05018E-05,3.17E-05,0.00015314,0.0010863,0.008,0.014,0.031,0.151,4.71,100,241.008,277.898
AUS,Australia,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,12.539,12.705,12.854,13.33,13.7,14.093,14.574,15.019,15.559,16.319,17.187,18.344,20.139,23.034,27.319,31.451,34.924,37.591,40.515,44.972,49.549,54.655,60.381,64.555,68.168,72.898,78.376,84.231,91.535,96.869,100,101.603,102.679
AUT,Austria,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,30.7,40.2,40.6,37.8,42.6,44.7,47.1,47.7,42.4,44.3,51.5,55,55.5,55.3,56.7,63,61.4,58.5,55.9,59.7,63.4,66.9,74.6,78,79,75.4,80.3,82.4,84.4,84.8,89.6,91,80.1,84.8,89,86.4,89.6,92.1,89.5,96.2,100,99,96.5
BEL,Belgium,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,27.129,27.977,28.733,30.309,31.086,32.216,32.914,26.465,26.809,28.051,29.489,31.413,31.897,33.384,35.019,35.728,37.135,40.17,41.9,43.841,45.952,52.842,58.378,61.728,64.962,66.353,69.648,71.277,74.538,79.102,84.888,88.003,91.306,92.871,92.973,94.623,97.223,100,103.916,106.249
BLX,Belgium-Luxembourg,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CAN,Canada,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,15.232,16.984,17.726,17.715,17.995,18.093,18.734,19.153,19.42,19.824,20.301,20.394,20.683,21.109,21.658,22.385,23.462,24.447,25.33,26.463,27.685,28.571,30.18,32.864,37.599,41.296,44.894,47.717,50.59,55.704,61.628,68.265,74.199,77.781,80.225,82.332,84.281,88.251,92.39,96.909,100,102.413,103.582
CHL,Chile,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,0.0001,0.0001,0.0001,0.0002,0.0003,0.0004,0.0006,0.0007,0.0009,0.0013,0.0018,0.0022,0.0041,0.0212,0.168,0.7434,2.6071,5.3072,8.3081,12.1534,15.7015,17.6162,19.9583,25.2738,28.8836,39.4792,48.204,60.0526,72.9363,83.9407,100,121.615,138.958
COL,Colombia,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.508,1.753,2.021,2.048,2.41,2.422,2.687,2.98,3.349,3.78,4.399,5.01,5.663,6.993,9.044,11.329,13.679,16.557,20.311,23.866,29.618,36.774,45.891,60.122,75.909,100,129.646,167.494
CRI,"Costa Rica",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,2.166,2.236,2.25,2.293,2.334,2.314,2.341,2.395,2.442,2.554,2.741,2.808,2.988,3.431,4.228,5.266,6.14,7.18,7.748,8.456,10.049,14.179,26.113,33.669,39.288,47.36,55.912,61.584,73.182,84.341,100,129.051,156.936
CSK,Czechoslovakia,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,77.868,76.786,76.786,82.175,69.698,70.011,68.21,95.088,99.188,107.436,100.175,103.159,94.196,102.844,101.882,102.252,102.994,93.489,93.759,93.892,94.331,94.812,96.906,100.237,99.155,91.706,97.731,99.132,99.155,97.402,100,100.291,100.672
