"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25029.0336,
"AUS","GDP","TOT","MLN_USD","A","1961",25320.6787,
"AUS","GDP","TOT","MLN_USD","A","1962",27905.9382,
"AUS","GDP","TOT","MLN_USD","A","1963",30378.5632,
"AUS","GDP","TOT","MLN_USD","A","1964",32687.4079,
"AUS","GDP","TOT","MLN_USD","A","1965",34481.4258,
"AUS","GDP","TOT","MLN_USD","A","1966",38275.4368,
"AUS","GDP","TOT","MLN_USD","A","1967",40994.175,
"AUS","GDP","TOT","MLN_USD","A","1968",46477.0639,
"AUS","GDP","TOT","MLN_USD","A","1969",52119.205,
"AUS","GDP","TOT","MLN_USD","A","1970",58886.1074,
"AUS","GDP","TOT","MLN_USD","A","1971",64171.6399,
"AUS","GDP","TOT","MLN_USD","A","1972",69847.9051,
"AUS","GDP","TOT","MLN_USD","A","1973",78860.4446,
"AUS","GDP","TOT","MLN_USD","A","1974",86331.9369,
"AUS","GDP","TOT","MLN_USD","A","1975",96861.1374,
"AUS","GDP","TOT","MLN_USD","A","1976",104279.979,
"AUS","GDP","TOT","MLN_USD","A","1977",110259.1513,
"AUS","GDP","TOT","MLN_USD","A","1978",123303.4917,
"AUS","GDP","TOT","MLN_USD","A","1979",137883.756,
"AUS","GDP","TOT","MLN_USD","A","1980",154905.0807,
"AUS","GDP","TOT","MLN_USD","A","1981",177937.6346,
"AUS","GDP","TOT","MLN_USD","A","1982",181619.4601,
"AUS","GDP","TOT","MLN_USD","A","1983",196245.912,
"AUS","GDP","TOT","MLN_USD","A","1984",211218.2544,
"AUS","GDP","TOT","MLN_USD","A","1985",228899.9924,
"AUS","GDP","TOT","MLN_USD","A","1986",239124.1532,
"AUS","GDP","TOT","MLN_USD","A","1987",261225.6872,
"AUS","GDP","TOT","MLN_USD","A","1988",282612.1455,
"AUS","GDP","TOT","MLN_USD","A","1989",299413.5537,
"AUS","GDP","TOT","MLN_USD","A","1990",303650.9199,
"AUS","GDP","TOT","MLN_USD","A","1991",313322.9582,
"AUS","GDP","TOT","MLN_USD","A","1992",333959.0347,
"AUS","GDP","TOT","MLN_USD","A","1993",354859.7221,
"AUS","GDP","TOT","MLN_USD","A","1994",380518.1968,
"AUS","GDP","TOT","MLN_USD","A","1995",402742.0711,
"AUS","GDP","TOT","MLN_USD","A","1996",423263.6197,
"AUS","GDP","TOT","MLN_USD","A","1997",449564.3636,
"AUS","GDP","TOT","MLN_USD","A","1998",476744.8766,
"AUS","GDP","TOT","MLN_USD","A","1999",509548.5562,
"AUS","GDP","TOT","MLN_USD","A","2000",537537.2573,
"AUS","GDP","TOT","MLN_USD","A","2001",567955.3871,
"AUS","GDP","TOT","MLN_USD","A","2002",599052.8081,
"AUS","GDP","TOT","MLN_USD","A","2003",634410.8408,
"AUS","GDP","TOT","MLN_USD","A","2004",675012.9205,
"AUS","GDP","TOT","MLN_USD","A","2005",717192.9626,
"AUS","GDP","TOT","MLN_USD","A","2006",773501.327,
"AUS","GDP","TOT","MLN_USD","A","2007",823954.3094,
"AUS","GDP","TOT","MLN_USD","A","2008",850737.0788,
"AUS","GDP","TOT","MLN_USD","A","2009",901035.4328,
"AUS","GDP","TOT","MLN_USD","A","2010",941984.6069,
"AUS","GDP","TOT","MLN_USD","A","2011",990568.3401,
"AUS","GDP","TOT","MLN_USD","A","2012",995952.789,
"AUS","GDP","TOT","MLN_USD","A","2013",1102723.0487,
"AUS","GDP","TOT","MLN_USD","A","2014",1116293.1092,
"AUS","GDP","TOT","MLN_USD","A","2015",1128361.0059,
"AUS","GDP","TOT","MLN_USD","A","2016",1181218.1285,
"AUS","GDP","TOT","USD_CAP","A","1960",2408.509071,
"AUS","GDP","TOT","USD_CAP","A","1961",2379.169582,
"AUS","GDP","TOT","USD_CAP","A","1962",2572.910414,
"AUS","GDP","TOT","USD_CAP","A","1963",2747.828019,
"AUS","GDP","TOT","USD_CAP","A","1964",2897.709644,
"AUS","GDP","TOT","USD_CAP","A","1965",2996.975488,
"AUS","GDP","TOT","USD_CAP","A","1966",3270.051273,
"AUS","GDP","TOT","USD_CAP","A","1967",3441.34523,
"AUS","GDP","TOT","USD_CAP","A","1968",3826.664208,
"AUS","GDP","TOT","USD_CAP","A","1969",4200.716812,
"AUS","GDP","TOT","USD_CAP","A","1970",4650.077117,
"AUS","GDP","TOT","USD_CAP","A","1971",4862.084581,
"AUS","GDP","TOT","USD_CAP","A","1972",5208.919749,
"AUS","GDP","TOT","USD_CAP","A","1973",5792.452765,
"AUS","GDP","TOT","USD_CAP","A","1974",6241.474421,
"AUS","GDP","TOT","USD_CAP","A","1975",6934.065613,
"AUS","GDP","TOT","USD_CAP","A","1976",7390.445655,
"AUS","GDP","TOT","USD_CAP","A","1977",7720.400272,
"AUS","GDP","TOT","USD_CAP","A","1978",8544.449053,
"AUS","GDP","TOT","USD_CAP","A","1979",9442.488298,
"AUS","GDP","TOT","USD_CAP","A","1980",10461.350034,
"AUS","GDP","TOT","USD_CAP","A","1981",11819.865264,
"AUS","GDP","TOT","USD_CAP","A","1982",11879.178161,
"AUS","GDP","TOT","USD_CAP","A","1983",12674.522083,
"AUS","GDP","TOT","USD_CAP","A","1984",13472.887356,
"AUS","GDP","TOT","USD_CAP","A","1985",14395.713489,
"AUS","GDP","TOT","USD_CAP","A","1986",14816.75295,
"AUS","GDP","TOT","USD_CAP","A","1987",15933.602155,
"AUS","GDP","TOT","USD_CAP","A","1988",16935.983506,
"AUS","GDP","TOT","USD_CAP","A","1989",17678.363975,
"AUS","GDP","TOT","USD_CAP","A","1990",17568.324456,
"AUS","GDP","TOT","USD_CAP","A","1991",17926.090088,
"AUS","GDP","TOT","USD_CAP","A","1992",18937.500553,
"AUS","GDP","TOT","USD_CAP","A","1993",19929.781368,
"AUS","GDP","TOT","USD_CAP","A","1994",21134.146637,
"AUS","GDP","TOT","USD_CAP","A","1995",22098.572883,
"AUS","GDP","TOT","USD_CAP","A","1996",22974.739168,
"AUS","GDP","TOT","USD_CAP","A","1997",24160.255141,
"AUS","GDP","TOT","USD_CAP","A","1998",25342.189772,
"AUS","GDP","TOT","USD_CAP","A","1999",26777.755625,
"AUS","GDP","TOT","USD_CAP","A","2000",27888.229507,
"AUS","GDP","TOT","USD_CAP","A","2001",29133.088511,
"AUS","GDP","TOT","USD_CAP","A","2002",30376.853158,
"AUS","GDP","TOT","USD_CAP","A","2003",31827.642055,
"AUS","GDP","TOT","USD_CAP","A","2004",33454.904667,
"AUS","GDP","TOT","USD_CAP","A","2005",35068.84566,
"AUS","GDP","TOT","USD_CAP","A","2006",37138.28415,
"AUS","GDP","TOT","USD_CAP","A","2007",38775.780236,
"AUS","GDP","TOT","USD_CAP","A","2008",39219.474673,
"AUS","GDP","TOT","USD_CAP","A","2009",40897.041223,
"AUS","GDP","TOT","USD_CAP","A","2010",42165.828421,
"AUS","GDP","TOT","USD_CAP","A","2011",43583.03701,
"AUS","GDP","TOT","USD_CAP","A","2012",43082.387684,
"AUS","GDP","TOT","USD_CAP","A","2013",47002.990052,
"AUS","GDP","TOT","USD_CAP","A","2014",46920.617762,
"AUS","GDP","TOT","USD_CAP","A","2015",46761.167739,
"AUS","GDP","TOT","USD_CAP","A","2016",48177.785557,
"AUT","GDP","TOT","MLN_USD","A","1970",28628.0715,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31619.8365,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",35036.6233,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38748.8619,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43895.1304,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47786.6823,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52716.9161,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58831.0548,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62829.1128,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71659.6448,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79474.9714,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86769.5632,"E"
