"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HEALTHEXP","TOT","PC_GDP","A","1970",5.713,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1971",6.185,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1972",6.509,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1973",6.828,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1974",7.353,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1975",8.017,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1976",8.038,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1977",7.971,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1978",8.046,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1979",7.899,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1980",8.098,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1981",8.397,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1982",8.228,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1983",8.22,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1984",8.336,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1985",8.481,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1986",8.376,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1987",8.48,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1988",8.66,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1989",8.063,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1990",8.031,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1992",9.032,"B"
"DEU","HEALTHEXP","TOT","PC_GDP","A","1993",9,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1994",9.235,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1995",9.51,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1996",9.797,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1997",9.678,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1998",9.698,
"DEU","HEALTHEXP","TOT","PC_GDP","A","1999",9.768,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2000",9.84,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2001",9.875,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2002",10.122,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2003",10.358,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2004",10.13,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2005",10.275,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2006",10.128,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2007",9.985,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2008",10.181,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2009",11.167,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2010",11.035,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2011",10.747,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2012",10.805,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2013",10.968,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2014",11.05,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2015",11.152,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2016",11.268,"P"
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1970",38.571,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1971",41.71,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1972",45.372,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1973",48.092,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1974",51.65,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1975",56.964,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1976",64.922,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1977",72.837,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1978",81.992,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1979",91.84,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1980",103.308,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1981",114.733,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1982",121.808,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1983",141.062,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1984",153.374,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1985",162.699,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1986",164.779,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1987",168.987,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1988",188.996,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1989",186.791,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1990",201.76,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1992",218.243,"B"
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1993",223.89,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1994",237.406,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1995",232.095,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1996",242.37,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1997",260.94,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1998",282.645,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","1999",299.022,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2000",325.497,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2001",342.327,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2002",370.272,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2003",398.303,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2004",454.385,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2005",472.359,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2006",503.079,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2007",525.569,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2008",549.922,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2009",580.661,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2010",613.712,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2011",636.98,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2012",655.249,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2013",652.834,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2014",662.387,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2015",670.6,
