Ranking	Mat_A	Mat_B	Mat_C	Mat_D	Mat_E	Mat_F
24	558.2576	3.9988	24.9986	15.9495	8.7844	21.6419
40	173.1652	4.8525	17.1475	17.7145	4.6662	29.8481
46	97.1960	5.7493	16.2507	17.8123	4.4379	32.8661
37	160.3977	5.8888	16.1112	16.2386	8.1100	48.9768
42	112.6512	6.0177	15.9823	16.9798	6.3804	31.0183
51	65.0137	6.3144	15.6856	17.9769	4.0540	35.0962
27	185.1283	6.4113	15.5887	15.0049	10.9885	25.9013
41	96.2990	6.6610	15.3390	16.3576	7.8323	30.9728
39	98.7830	6.7672	15.2328	16.1167	8.3944	30.5243
18	379.1181	6.9980	15.0020	12.1247	17.7090	18.4770
10	627.2894	7.4248	14.5752	10.0775	22.4859	13.2296
47	52.4062	7.6565	14.3435	16.3785	7.7835	34.0429
43	62.7988	7.7972	14.2028	15.6635	9.4518	32.1850
35	89.1791	7.9574	14.0426	14.4602	12.2596	28.8270
19	224.0506	8.4411	13.5589	11.1972	19.8732	19.8702
50	33.5735	8.5261	13.4739	16.1649	8.2819	35.9845
29	88.5911	8.5602	13.4398	13.4997	14.5007	27.5795
16	268.2464	8.6724	13.3276	10.3375	21.8791	17.8239
12	404.3363	8.8202	13.1798	8.9940	25.0139	13.9808
26	100.1013	9.2353	12.7647	12.0755	17.8239	25.0697
6	511.3400	9.3305	12.6695	7.5343	28.4199	10.8606
22	144.9671	9.3911	12.6089	10.8264	20.7384	29.1045
4	460.6497	10.2813	11.7187	6.2718	31.3657	9.6993
23	101.9470	10.3189	11.6811	10.2676	22.0423	22.5679
31	46.4111	10.4206	11.5794	12.2191	17.4887	22.6679
3	500.2583	10.5423	11.4577	5.6265	32.8715	NA
53	14.9978	10.5879	11.4121	14.9861	11.0323	38.4420
60	4.0741	10.8908	11.1092	18.0015	3.9990	28.2631
44	23.2226	10.9326	11.0674	13.2507	15.0817	33.9420
25	66.3318	10.9738	11.0262	10.3607	21.8249	24.8410
5	363.5752	10.9740	11.0260	5.7842	32.5036	NA
14	161.1784	10.9928	11.0072	7.9417	27.4694	17.1764
55	7.6953	11.4497	10.5503	15.3823	10.1080	42.3067
28	37.1242	11.4856	10.5144	11.0912	20.1206	28.7169
11	157.5937	11.9974	10.0026	6.3718	31.1324	15.1957
30	26.9145	12.2480	9.7520	10.7188	20.9894	29.8284
1	415.1713	12.3843	9.6157	3.1383	38.6774	6.0409
2	273.7473	12.5939	9.4061	3.9184	36.8571	9.1635
57	4.3932	13.0197	8.9803	14.3420	12.5354	43.7224
59	2.2255	13.0388	8.9612	16.1402	8.3396	NA
54	6.9923	13.0681	8.9319	13.0133	15.6355	39.6271
32	19.0412	13.3061	8.6939	9.9325	22.8242	30.5103
9	114.6609	13.3574	8.6426	5.0200	34.2867	14.9834
15	60.4777	14.0984	7.9016	5.5381	33.0779	18.8727
58	2.4341	14.1476	7.8524	14.0997	13.1008	46.3517
49	6.5307	14.1556	7.8444	11.4319	19.3255	37.8600
21	35.6506	14.3332	7.6668	6.5786	30.6500	22.9026
7	81.7214	14.8694	7.1306	3.4770	37.8870	NA
13	59.1429	15.0698	6.9302	4.0215	36.6165	NA
56	2.3358	15.2934	6.7066	12.3508	17.1814	NA
52	3.6440	15.4575	6.5425	10.8882	20.5941	NA
8	65.5191	15.5295	6.4705	3.0014	39.0032	NA
33	8.6890	15.7190	6.2810	8.1265	27.0381	NA
38	6.7056	15.7869	6.2131	8.7132	25.6692	NA
45	4.4123	16.1460	5.8540	9.2563	24.4020	NA
48	3.5838	16.2498	5.7502	9.6472	23.4898	NA
20	19.7196	16.3134	5.6866	4.9574	34.4327	NA
17	21.0593	16.6146	5.3854	4.2917	35.9860	NA
36	3.3055	18.7938	3.2062	5.7356	32.6169	NA
34	3.2207	19.0003	3.0177	5.4710	33.2344	33.4466
