"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",95.71384,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",99.58472,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",107.6328,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",114.7557,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",121.2515,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",126.4886,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",132.1323,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",149.321,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",159.7972,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",170.3801,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",181.8679,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",187.1518,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",190.7298,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",185.6271,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",191.6341,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",190.4306,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",189.3795,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",190.1243,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",191.1755,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",194.6369,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",203.4434,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",212.9602,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.85123,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.45939,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.871,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.94254,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19659,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.99089,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.26226,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",91.56047,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",63.81167,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",67.19376,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",70.12573,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",71.19109,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",73.28488,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.18072,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.16731,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",69.01881,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.96651,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.36566,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.84227,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.41733,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",88.38778,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.62928,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.10421,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.20502,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",103.5551,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",105.0259,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",107.0254,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",111.6812,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",114.9866,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",116.3853,
"CZE","HHDEBT","TOT","PC_NDI","A","1995",28.78766,
"CZE","HHDEBT","TOT","PC_NDI","A","1996",21.66229,
"CZE","HHDEBT","TOT","PC_NDI","A","1997",20.64713,
"CZE","HHDEBT","TOT","PC_NDI","A","1998",19.39907,
"CZE","HHDEBT","TOT","PC_NDI","A","1999",20.55857,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.75438,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.30066,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",27.12434,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.37438,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",34.20975,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.51069,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.66888,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.19638,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.06403,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",60.59196,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",62.02726,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",64.64095,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",65.81157,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",68.30981,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",66.66041,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",67.19945,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",69.1944,
"DNK","HHDEBT","TOT","PC_NDI","A","1995",192.7977,
"DNK","HHDEBT","TOT","PC_NDI","A","1996",200.1547,
"DNK","HHDEBT","TOT","PC_NDI","A","1997",213.491,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",221.4437,
"DNK","HHDEBT","TOT","PC_NDI","A","1999",225.5847,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",307.1933,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",292.5356,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",285.2447,
"FIN","HHDEBT","TOT","PC_NDI","A","1995",70.951,
"FIN","HHDEBT","TOT","PC_NDI","A","1996",65.99001,
"FIN","HHDEBT","TOT","PC_NDI","A","1997",62.9997,
"FIN","HHDEBT","TOT","PC_NDI","A","1998",64.65438,
"FIN","HHDEBT","TOT","PC_NDI","A","1999",66.03015,
"FIN","HHDEBT","TOT","PC_NDI","A","2000",69.21017,
"FIN","HHDEBT","TOT","PC_NDI","A","2001",70.75904,
"FIN","HHDEBT","TOT","PC_NDI","A","2002",75.57961,
"FIN","HHDEBT","TOT","PC_NDI","A","2003",79.9104,
"FIN","HHDEBT","TOT","PC_NDI","A","2004",88.56661,
"FIN","HHDEBT","TOT","PC_NDI","A","2005",99.17135,
"FIN","HHDEBT","TOT","PC_NDI","A","2006",109.3842,
"FIN","HHDEBT","TOT","PC_NDI","A","2007",114.6815,
"FIN","HHDEBT","TOT","PC_NDI","A","2008",117.1553,
"FIN","HHDEBT","TOT","PC_NDI","A","2009",117.5132,
"FIN","HHDEBT","TOT","PC_NDI","A","2010",119.6059,
"FIN","HHDEBT","TOT","PC_NDI","A","2011",122.6983,
"FIN","HHDEBT","TOT","PC_NDI","A","2012",124.5704,
"FIN","HHDEBT","TOT","PC_NDI","A","2013",124.7129,
"FIN","HHDEBT","TOT","PC_NDI","A","2014",125.8265,
"FIN","HHDEBT","TOT","PC_NDI","A","2015",129.3646,
"FIN","HHDEBT","TOT","PC_NDI","A","2016",133.0889,
"FRA","HHDEBT","TOT","PC_NDI","A","1995",66.41138,
"FRA","HHDEBT","TOT","PC_NDI","A","1996",69.59072,
"FRA","HHDEBT","TOT","PC_NDI","A","1997",72.78082,
"FRA","HHDEBT","TOT","PC_NDI","A","1998",72.43103,
"FRA","HHDEBT","TOT","PC_NDI","A","1999",74.9463,
"FRA","HHDEBT","TOT","PC_NDI","A","2000",74.76111,
"FRA","HHDEBT","TOT","PC_NDI","A","2001",77.02833,
"FRA","HHDEBT","TOT","PC_NDI","A","2002",77.46087,
"FRA","HHDEBT","TOT","PC_NDI","A","2003",81.13208,
"FRA","HHDEBT","TOT","PC_NDI","A","2004",81.93453,
"FRA","HHDEBT","TOT","PC_NDI","A","2005",88.41001,
"FRA","HHDEBT","TOT","PC_NDI","A","2006",93.57646,
"FRA","HHDEBT","TOT","PC_NDI","A","2007",96.64955,
"FRA","HHDEBT","TOT","PC_NDI","A","2008",98.68642,
"FRA","HHDEBT","TOT","PC_NDI","A","2009",104.2535,
"FRA","HHDEBT","TOT","PC_NDI","A","2010",107.5276,
"FRA","HHDEBT","TOT","PC_NDI","A","2011",107.0651,
"FRA","HHDEBT","TOT","PC_NDI","A","2012",103.3062,
