"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.32972135599153,
"AUS","HHDI","NET","AGRWTH","A","1971",4.25224680865947,
"AUS","HHDI","NET","AGRWTH","A","1972",7.18013262268088,
"AUS","HHDI","NET","AGRWTH","A","1973",8.15564457469535,
"AUS","HHDI","NET","AGRWTH","A","1974",4.25381264043451,
"AUS","HHDI","NET","AGRWTH","A","1975",0.956759173027796,
"AUS","HHDI","NET","AGRWTH","A","1976",3.23890186278933,
"AUS","HHDI","NET","AGRWTH","A","1977",1.06840286854476,
"AUS","HHDI","NET","AGRWTH","A","1978",3.28050558573081,
"AUS","HHDI","NET","AGRWTH","A","1979",0.902670485604735,
"AUS","HHDI","NET","AGRWTH","A","1980",3.34349020170353,
"AUS","HHDI","NET","AGRWTH","A","1981",4.14797016293463,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.220424336137425,
"AUS","HHDI","NET","AGRWTH","A","1983",3.89247328441131,
"AUS","HHDI","NET","AGRWTH","A","1984",2.56596036273423,
"AUS","HHDI","NET","AGRWTH","A","1985",2.68297831982961,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.51063004305147,
"AUS","HHDI","NET","AGRWTH","A","1987",1.99816711310415,
"AUS","HHDI","NET","AGRWTH","A","1988",5.20367152059083,
"AUS","HHDI","NET","AGRWTH","A","1989",4.14637635216778,
"AUS","HHDI","NET","AGRWTH","A","1990",0.735797433344266,
"AUS","HHDI","NET","AGRWTH","A","1991",0.685810721967866,
"AUS","HHDI","NET","AGRWTH","A","1992",1.94130244891894,
"AUS","HHDI","NET","AGRWTH","A","1993",1.82948527761098,
"AUS","HHDI","NET","AGRWTH","A","1994",3.61767746262169,
"AUS","HHDI","NET","AGRWTH","A","1995",3.70677596335819,
"AUS","HHDI","NET","AGRWTH","A","1996",4.1621052839117,
"AUS","HHDI","NET","AGRWTH","A","1997",2.496371929909,
"AUS","HHDI","NET","AGRWTH","A","1998",4.09333006357897,
"AUS","HHDI","NET","AGRWTH","A","1999",3.86670462132228,
"AUS","HHDI","NET","AGRWTH","A","2000",3.86335260941713,
"AUS","HHDI","NET","AGRWTH","A","2001",4.3769179121877,
"AUS","HHDI","NET","AGRWTH","A","2002",-0.081969645649602,
"AUS","HHDI","NET","AGRWTH","A","2003",5.91100719666365,
"AUS","HHDI","NET","AGRWTH","A","2004",5.48772878354578,
"AUS","HHDI","NET","AGRWTH","A","2005",2.24931441137099,
"AUS","HHDI","NET","AGRWTH","A","2006",5.1217050850109,
"AUS","HHDI","NET","AGRWTH","A","2007",6.38669436315462,
"AUS","HHDI","NET","AGRWTH","A","2008",7.25530540478141,
"AUS","HHDI","NET","AGRWTH","A","2009",0.999670052822713,
"AUS","HHDI","NET","AGRWTH","A","2010",5.06713521758152,
"AUS","HHDI","NET","AGRWTH","A","2011",3.47143113221254,
"AUS","HHDI","NET","AGRWTH","A","2012",0.429746586748469,
"AUS","HHDI","NET","AGRWTH","A","2013",2.66633367921068,
"AUS","HHDI","NET","AGRWTH","A","2014",2.93567290277946,
"AUS","HHDI","NET","AGRWTH","A","2015",1.3245486061525,
"AUS","HHDI","NET","AGRWTH","A","2016",1.54367192295551,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.000635788819357,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.274870488736532,
"AUT","HHDI","NET","AGRWTH","A","1998",2.95986508830662,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88790233170238,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52317193065182,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.437765534306623,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36770494561244,
"AUT","HHDI","NET","AGRWTH","A","2003",1.93804320839835,
"AUT","HHDI","NET","AGRWTH","A","2004",1.75518692386174,
"AUT","HHDI","NET","AGRWTH","A","2005",3.82893829418663,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82196885686465,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37730755539556,
"AUT","HHDI","NET","AGRWTH","A","2008",1.24543750882377,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.03470705045144,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686109213590282,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.334938489713187,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39447895058908,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38437308792348,
"AUT","HHDI","NET","AGRWTH","A","2014",0.382756763028594,
"AUT","HHDI","NET","AGRWTH","A","2015",0.574778295365048,
"AUT","HHDI","NET","AGRWTH","A","2016",2.72561385048347,
"BEL","HHDI","NET","AGRWTH","A","1996",0.115083405561949,
"BEL","HHDI","NET","AGRWTH","A","1997",0.748241635900495,
"BEL","HHDI","NET","AGRWTH","A","1998",1.97934630516328,
"BEL","HHDI","NET","AGRWTH","A","1999",1.82745807890078,
"BEL","HHDI","NET","AGRWTH","A","2000",1.9693397489063,
"BEL","HHDI","NET","AGRWTH","A","2001",2.41628037070382,
"BEL","HHDI","NET","AGRWTH","A","2002",-0.1741250832443,
"BEL","HHDI","NET","AGRWTH","A","2003",0.223926547224807,
"BEL","HHDI","NET","AGRWTH","A","2004",0.05601665139734,
"BEL","HHDI","NET","AGRWTH","A","2005",0.857126254929968,
"BEL","HHDI","NET","AGRWTH","A","2006",2.01840830736938,
"BEL","HHDI","NET","AGRWTH","A","2007",1.95956409116388,
"BEL","HHDI","NET","AGRWTH","A","2008",2.21469501552736,
"BEL","HHDI","NET","AGRWTH","A","2009",1.80547587669199,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.589059074557733,
"BEL","HHDI","NET","AGRWTH","A","2011",-0.476771212394714,
"BEL","HHDI","NET","AGRWTH","A","2012",0.158452425948573,
"BEL","HHDI","NET","AGRWTH","A","2013",0.158853022960344,
"BEL","HHDI","NET","AGRWTH","A","2014",0.867183820857863,
"BEL","HHDI","NET","AGRWTH","A","2015",0.505467659695816,
"BEL","HHDI","NET","AGRWTH","A","2016",0.965754334144378,
"CAN","HHDI","NET","AGRWTH","A","1994",0.298651544453851,"E"
"CAN","HHDI","NET","AGRWTH","A","1995",0.642131567507803,"E"
"CAN","HHDI","NET","AGRWTH","A","1996",0.215302473433152,"E"
"CAN","HHDI","NET","AGRWTH","A","1997",2.10956630909799,"E"
"CAN","HHDI","NET","AGRWTH","A","1998",3.08625795155561,"E"
"CAN","HHDI","NET","AGRWTH","A","1999",3.39089263184591,"E"
"CAN","HHDI","NET","AGRWTH","A","2000",3.45383677454664,"E"
"CAN","HHDI","NET","AGRWTH","A","2001",3.78641291932433,"E"
"CAN","HHDI","NET","AGRWTH","A","2002",2.14533144128325,"E"
"CAN","HHDI","NET","AGRWTH","A","2003",1.52941665047808,"E"
"CAN","HHDI","NET","AGRWTH","A","2004",3.30599273240987,"E"
"CAN","HHDI","NET","AGRWTH","A","2005",1.85070300188083,"E"
"CAN","HHDI","NET","AGRWTH","A","2006",5.29053345963341,"E"
"CAN","HHDI","NET","AGRWTH","A","2007",3.44201130432947,"E"
"CAN","HHDI","NET","AGRWTH","A","2008",3.83964190211329,"E"
"CAN","HHDI","NET","AGRWTH","A","2009",2.05325074942811,"E"
"CAN","HHDI","NET","AGRWTH","A","2010",3.39175609100721,"E"
"CAN","HHDI","NET","AGRWTH","A","2011",1.5598962377455,
"CAN","HHDI","NET","AGRWTH","A","2012",2.1944235656231,
"CAN","HHDI","NET","AGRWTH","A","2013",2.43618856547632,
"CAN","HHDI","NET","AGRWTH","A","2014",0.886014518075907,
"CAN","HHDI","NET","AGRWTH","A","2015",2.18608490587424,
"CAN","HHDI","NET","AGRWTH","A","2016",3.43866393998324,
"CZE","HHDI","NET","AGRWTH","A","1996",6.40931455363859,
"CZE","HHDI","NET","AGRWTH","A","1997",2.33398255515109,
"CZE","HHDI","NET","AGRWTH","A","1998",-1.58878165168213,
"CZE","HHDI","NET","AGRWTH","A","1999",2.15189470946793,
"CZE","HHDI","NET","AGRWTH","A","2000",2.2517053952582,
"CZE","HHDI","NET","AGRWTH","A","2001",3.18776250840607,
"CZE","HHDI","NET","AGRWTH","A","2002",4.4964502712736,
"CZE","HHDI","NET","AGRWTH","A","2003",4.28182843102277,
"CZE","HHDI","NET","AGRWTH","A","2004",1.96814392853492,
"CZE","HHDI","NET","AGRWTH","A","2005",3.33421832392183,
"CZE","HHDI","NET","AGRWTH","A","2006",4.319144897988,
"CZE","HHDI","NET","AGRWTH","A","2007",2.89877411325347,
"CZE","HHDI","NET","AGRWTH","A","2008",2.08752019431409,
"CZE","HHDI","NET","AGRWTH","A","2009",2.34502993837525,
"CZE","HHDI","NET","AGRWTH","A","2010",0.379849992127783,
"CZE","HHDI","NET","AGRWTH","A","2011",-1.7606916908389,
"CZE","HHDI","NET","AGRWTH","A","2012",-1.14525105588359,
"CZE","HHDI","NET","AGRWTH","A","2013",-0.313640508948555,
"CZE","HHDI","NET","AGRWTH","A","2014",2.77510115381577,
"CZE","HHDI","NET","AGRWTH","A","2015",3.55257565716472,
"CZE","HHDI","NET","AGRWTH","A","2016",2.64716367149253,
"DNK","HHDI","NET","AGRWTH","A","1996",0.925693500533321,
"DNK","HHDI","NET","AGRWTH","A","1997",-0.419988080371836,
"DNK","HHDI","NET","AGRWTH","A","1998",3.04253027123509,
"DNK","HHDI","NET","AGRWTH","A","1999",-0.867489883601145,
"DNK","HHDI","NET","AGRWTH","A","2000",1.12948376726276,
"DNK","HHDI","NET","AGRWTH","A","2001",3.40999861814599,
"DNK","HHDI","NET","AGRWTH","A","2002",2.95689340989607,
"DNK","HHDI","NET","AGRWTH","A","2003",2.03705834694344,
"DNK","HHDI","NET","AGRWTH","A","2004",2.18159474002293,
"DNK","HHDI","NET","AGRWTH","A","2005",2.14519434233371,
"DNK","HHDI","NET","AGRWTH","A","2006",2.41976235870122,
"DNK","HHDI","NET","AGRWTH","A","2007",-0.192261402158205,
"DNK","HHDI","NET","AGRWTH","A","2008",0.386963573231017,
"DNK","HHDI","NET","AGRWTH","A","2009",2.71162462160495,
"DNK","HHDI","NET","AGRWTH","A","2010",3.35131594963482,
"DNK","HHDI","NET","AGRWTH","A","2011",0.881825264225637,
"DNK","HHDI","NET","AGRWTH","A","2012",-0.074057564986492,
"DNK","HHDI","NET","AGRWTH","A","2013",1.12609043366736,
"DNK","HHDI","NET","AGRWTH","A","2014",1.18216680751833,
"DNK","HHDI","NET","AGRWTH","A","2015",3.74397302573786,
"DNK","HHDI","NET","AGRWTH","A","2016",2.79653487890019,
"FIN","HHDI","NET","AGRWTH","A","1996",0.303560998644706,
"FIN","HHDI","NET","AGRWTH","A","1997",4.44805643667385,
"FIN","HHDI","NET","AGRWTH","A","1998",3.48526744392939,
"FIN","HHDI","NET","AGRWTH","A","1999",4.60266284039081,
"FIN","HHDI","NET","AGRWTH","A","2000",1.60354891697857,
