"Rocket Software to Exhibit and Present at IBM Insight2015",0
"IBM Launches Data Exchange to Empower Marketers to Engage Customers in the Moment",1
"Spare5 Joins The IBM Watson Ecosystem",1
"Swiss Re to work with IBM Watson to harness the power of Big Data for Reinsurance",1
"Datawatch to Showcase Innovative Self-Service Data Preparation Solutions at IBM Insight",0
"KwikWork Legal from enChoice Leverages IBM Enterprise Content Management Investments to Improve Legal Department Collaboration & Productivity",1
"Motio Releases Theia. IBM Cognos BI Users are Presented with an Evolutionary User Experience",1
"IBM, UK STFC Hartree Centre, NVIDIA and Mellanox Launch High Performance Computing POWER Acceleration and Design Center for Business",1
"DBI Software Announces pureFeat(TM) V6.2 Performance Management Suite for IBM DB2 LUW",0
"MediaMath Joins IBM Universal Behavior Exchange",1
"Rocket Fuel Brings Programmatic Marketing Platform to IBM Universal Behavior Exchange",1
"Vibes Brings Mobile Marketing and Mobile Wallet Capabilities to IBM’s Universal Behavior Exchange",1
"Wipro Taps IBM Bluemix to Speed Development of Mobile, Analytics Apps",1
"IBM blows past forecasts, services contracts rise",1
"UPDATE 5-IBM blows past forecasts, services contracts rise",1
"IBM results blow past expectations, services strong",1
"UPDATE 4-IBM results blow past expectations, services strong",1
"Instant view: Apple sales surge, IBM beats Street",1
"Instant view: Apple, IBM results beat Street",1
"IBM Reports 2010 Fourth-Quarter and Full-Year Results",0
"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and IBM",0
"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and IBM",0
"SOA Software Achieves IBM Advanced Partner Status",0
"American Marketing Association Elects IBM Senior Marketing Executive to its Board of Directors",0
"Total Resource Management Launches TRM RulesManager Studio™, a configuration, control and application delivery software designed for IBM Maximo®",0
"Acacia Subsidiary Enters into License Agreement with IBM",1
"US STOCKS-Profits boost Wall Street, led by IBM, Juniper",1
"IBM at 5-year high after results beat forecasts",1
"US STOCKS-Profits push indexes up, led by IBM and Juniper",1
"US STOCKS-Strong earnings power rebound; IBM gains",1
"US STOCKS-Futures rise on earnings; IBM, Honeywell up",1
"US STOCKS-Futures rise as profits top estimates; IBM up",1
"US STOCKS-Futures rise before wave of earnings; IBM gains",1
"IBM net jumps 12 pct as revenue gains on software",1
"Warren Buffett says more likely to buy IBM shares than sell: CNBC",1
"Rosetta Leverages IBM Business Partner Programs, Publicis Network to Drive Global Commerce Innovation",1
"UPDATE 2-Warren Buffett says he sold a third of stake in IBM -CNBC",-1
"CORRECTED-UPDATE 1-Warren Buffett says he sold a third of stake in IBM -CNBC",-1
"CORRECTED-Warren Buffett says he sold a third of stake in IBM - CNBC",-1
"BRIEF-Warren Buffett says he sold a third of his IBM stake in Q1, Q2 2017- CNBC",-1
"IBM Is the Leader in Worldwide Server Revenue for Q307 According to Leading Industry Analyst Firm",1
"Carestream Health Selects IBM Unified Communications Software for Immediate Collaboration on Urgent Patient Cases",1
"BIBM Preferents Ltd - Stmt re Integration Process",0
"IBM to Deploy Unified Communications Solutions for IDEA Cellular",1
"Axceler Expands Product Portfolio to Provide New Monitoring Software for IBM Lotus...",0
"IBM shares may be cheap - Barron's",1
"Zobrist Consulting Wins IBM Leadership Award for",0
"IBM Signs Agreement With Whirlpool Corporation",1
"IBM Urges Communication Providers to Embrace Social Networking",0
"FACTBOX-AmEx, Microsoft, IBM propel Dow to 2009 gain",1
"REG-IBM: Doc re Form 10-Q",
"Fluor Awarded IBM Facility Management Contract",0
"MOSAID and IBM Sign Patent License Agreement, Resolve Patent Litigation Suit",1
"Delhi International Airport Partners with IBM to Create a Smarter Air Terminal",1
"intiGrow Sponsors IBM Pulse 2012 in Las Vegas March 3 - March 7",1
"Compuware Announces APM Industry's Broadest Support for IBM WebSphere Environments With dynaTrace 4.1",0
"Compuware Announces APM Industry's Broadest Support for IBM WebSphere Environments With dynaTrace 4.1",0
"Technological Developments, Acquisitions, Capacity Expansions, and Quarterly Results Announcements - Research Report on IBM, Accenture, Xerox, ServiceNow, and FIS",
"IBM launches enterprise-ready blockchain service",1
"IBM launches enterprise-ready blockchain service",1
"BRIEF-IBM, SecureKey to deliver blockchain-based digital identity network for consumers",1
"IBM launches enterprise-ready blockchain service",1
"IBM talks with Globalfoundries break down over price: Bloomberg",
"IBM talks with Globalfoundries break down over price -Bloomberg",
"Dell, BlackBerry downplay threat from Apple-IBM alliance",0
"Dell, BlackBerry downplay threat from Apple-IBM alliance",0
"IDC MarketScape Names IBM a Leader in Worldwide Managed Security Services",1
"Healthcare Sciences Publisher PLM and IBM Speed Access to Medical Information to Deliver Better Patient Care with Mobile",1
"Research and Markets: IT Market in Qatar 2014-2018: Key Vendors are Hewlett-Packard, IBM, Microsoft and Oracle",1
"The Zacks Analyst Blog Highlights: Apple, Microsoft, IBM, Google and eBay",1
"BRIEF-Zhangjiagang Furui Special Equipment's unit sets up centre with IBM",1
"IBM and PRO BTP Use Analytics to Fight Healthcare Insurance Fraud and Abuse",1
"Silver Sponsor and Participant, Trianz Seeks to Augment Integrated Service Management Solutions at the IBM Pulse 2011",0
"Zobrist Consulting Wins 2011 IBM Beacon Award for Best Industry Solution for Retail",0
"Cincom Systems Wins 2011 IBM Beacon Award for Best Industry Solution for Banking",0
"MarketShare Accelerates Global Expansion with Seasoned Executives from IBM and Yahoo! Japan",
