"Rocket Software to Exhibit and Present at  Insight2015",0
" Launches Data Exchange to Empower Marketers to Engage Customers in the Moment",1
"Spare5 Joins The  Watson Ecosystem",1
"Swiss Re to work with  Watson to harness the power of Big Data for Reinsurance",1
"Datawatch to Showcase Innovative Self-Service Data Preparation Solutions at  Insight",0
"KwikWork Legal from enChoice Leverages  Enterprise Content Management Investments to Improve Legal Department Collaboration & Productivity",1
"Motio Releases Theia.  Cognos BI Users are Presented with an Evolutionary User Experience",1
", UK STFC Hartree Centre, NVIDIA and Mellanox Launch High Performance Computing POWER Acceleration and Design Center for Business",1
"DBI Software Announces pureFeat(TM) V6.2 Performance Management Suite for  DB2 LUW",0
"MediaMath Joins  Universal Behavior Exchange",1
"Rocket Fuel Brings Programmatic Marketing Platform to  Universal Behavior Exchange",1
"Vibes Brings Mobile Marketing and Mobile Wallet Capabilities to ’s Universal Behavior Exchange",1
"Wipro Taps  Bluemix to Speed Development of Mobile, Analytics Apps",1
" blows past forecasts, services contracts rise",1
"UPDATE 5- blows past forecasts, services contracts rise",1
" results blow past expectations, services strong",1
"UPDATE 4- results blow past expectations, services strong",1
"Instant view: Apple sales surge,  beats Street",1
"Instant view: Apple,  results beat Street",1
" Reports 2010 Fourth-Quarter and Full-Year Results",0
"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and ",0
"M-Dot Network's Digital Coupon Technology Is Now Available on Retalix's StoreLine, Joining StoreNext's ISS45 and ",0
"SOA Software Achieves  Advanced Partner Status",0
"American Marketing Association Elects  Senior Marketing Executive to its Board of Directors",0
"Total Resource Management Launches TRM RulesManager Studio™, a configuration, control and application delivery software designed for  Maximo®",0
"Acacia Subsidiary Enters into License Agreement with ",1
"US STOCKS-Profits boost Wall Street, led by , Juniper",1
" at 5-year high after results beat forecasts",1
"US STOCKS-Profits push indexes up, led by  and Juniper",1
"US STOCKS-Strong earnings power rebound;  gains",1
"US STOCKS-Futures rise on earnings; , Honeywell up",1
"US STOCKS-Futures rise as profits top estimates;  up",1
"US STOCKS-Futures rise before wave of earnings;  gains",1
" net jumps 12 pct as revenue gains on software",1
"Warren Buffett says more likely to buy  shares than sell: CNBC",1
"Rosetta Leverages  Business Partner Programs, Publicis Network to Drive Global Commerce Innovation",1
"UPDATE 2-Warren Buffett says he sold a third of stake in  -CNBC",-1
"CORRECTED-UPDATE 1-Warren Buffett says he sold a third of stake in  -CNBC",-1
"CORRECTED-Warren Buffett says he sold a third of stake in  - CNBC",-1
"BRIEF-Warren Buffett says he sold a third of his  stake in Q1, Q2 2017- CNBC",-1
" Is the Leader in Worldwide Server Revenue for Q307 According to Leading Industry Analyst Firm",1
"Carestream Health Selects  Unified Communications Software for Immediate Collaboration on Urgent Patient Cases",1
"B Preferents Ltd - Stmt re Integration Process",0
" to Deploy Unified Communications Solutions for IDEA Cellular",1
"Axceler Expands Product Portfolio to Provide New Monitoring Software for  Lotus...",0
" shares may be cheap - Barron's",1
"Zobrist Consulting Wins  Leadership Award for",0
" Signs Agreement With Whirlpool Corporation",1
" Urges Communication Providers to Embrace Social Networking",0
"FACTBOX-AmEx, Microsoft,  propel Dow to 2009 gain",1
"REG-: Doc re Form 10-Q",
"Fluor Awarded  Facility Management Contract",0
"MOSAID and  Sign Patent License Agreement, Resolve Patent Litigation Suit",1
"Delhi International Airport Partners with  to Create a Smarter Air Terminal",1
"intiGrow Sponsors  Pulse 2012 in Las Vegas March 3 - March 7",1
"Compuware Announces APM Industry's Broadest Support for  WebSphere Environments With dynaTrace 4.1",0
"Compuware Announces APM Industry's Broadest Support for  WebSphere Environments With dynaTrace 4.1",0
"Technological Developments, Acquisitions, Capacity Expansions, and Quarterly Results Announcements - Research Report on , Accenture, Xerox, ServiceNow, and FIS",
" launches enterprise-ready blockchain service",1
" launches enterprise-ready blockchain service",1
"BRIEF-, SecureKey to deliver blockchain-based digital identity network for consumers",1
" launches enterprise-ready blockchain service",1
" talks with Globalfoundries break down over price: Bloomberg",
" talks with Globalfoundries break down over price -Bloomberg",
"Dell, BlackBerry downplay threat from Apple- alliance",0
"Dell, BlackBerry downplay threat from Apple- alliance",0
"IDC MarketScape Names  a Leader in Worldwide Managed Security Services",1
"Healthcare Sciences Publisher PLM and  Speed Access to Medical Information to Deliver Better Patient Care with Mobile",1
