"Rocket Software to Exhibit and Present at  Insight2015",0
" Launches Data Exchange to Empower Marketers to Engage Customers in the Moment",1
"Spare5 Joins The  Watson Ecosystem",1
"Swiss Re to work with  Watson to harness the power of Big Data for Reinsurance",1
"Datawatch to Showcase Innovative Self-Service Data Preparation Solutions at  Insight",0
"KwikWork Legal from enChoice Leverages  Enterprise Content Management Investments to Improve Legal Department Collaboration & Productivity",1
"Motio Releases Theia.  Cognos BI Users are Presented with an Evolutionary User Experience",1
", UK STFC Hartree Centre, NVIDIA and Mellanox Launch High Performance Computing POWER Acceleration and Design Center for Business",1
"DBI Software Announces pureFeat(TM) V6.2 Performance Management Suite for  DB2 LUW",0
"MediaMath Joins  Universal Behavior Exchange",1
