a	(30574,101950)
b	(16211,75212)
c	(10926,70107)
d	(10652,54925)
e	(4572,27150)
f	(12844,66786)
g	(6942,36469)
h	(21978,92546)
i	(24187,54651)
j	(1335,7711)
k	(2721,14293)
l	(10643,55594)
m	(20778,88703)
n	(9608,38552)
o	(14225,43526)
p	(10334,68760)
q	(732,4874)
r	(4209,27600)
s	(24291,125644)
t	(42225,168107)
u	(2729,13620)
v	(2449,15895)
w	(21128,97138)
x	(1,10)
y	(10701,39684)
z	(15,84)
a	(24238,80727)
b	(13294,64813)
c	(9553,65641)
d	(8479,44673)
e	(4768,29346)
f	(11012,58521)
g	(6649,38575)
h	(17982,78778)
i	(16823,38879)
j	(1123,5580)
k	(4221,20311)
l	(8653,42582)
m	(15276,64185)
n	(7278,30905)
o	(12953,37182)
p	(7601,50301)
q	(1031,6014)
r	(4560,29663)
s	(18246,98644)
t	(36140,142158)
u	(2857,13462)
v	(1944,9333)
w	(17104,81315)
x	(28,61)
y	(6888,26314)
z	(26,128)
a	(4103,14072)
b	(2842,13305)
c	(1525,9997)
d	(1925,10419)
e	(1018,5569)
f	(2243,11190)
g	(854,4697)
h	(3324,13255)
i	(2676,6804)
j	(113,616)
k	(307,1593)
l	(1922,9738)
m	(2610,10544)
n	(1352,5463)
o	(2120,6407)
p	(1348,8585)
q	(135,798)
r	(823,5094)
s	(4379,23028)
t	(7746,31032)
u	(435,2510)
v	(283,1649)
w	(3465,16476)
x	(62,297)
y	(540,2189)
z	(1,7)
a	(29063,104366)
b	(14676,68162)
c	(12689,85732)
d	(9985,54581)
e	(4884,29347)
f	(11929,61925)
g	(7074,38843)
h	(21450,90954)
i	(20895,50415)
j	(903,5575)
k	(2893,14181)
l	(10192,51984)
m	(19199,83839)
n	(9535,38895)
o	(14492,45872)
p	(8617,57618)
q	(703,4555)
r	(5002,31418)
s	(22042,117877)
t	(43342,174855)
u	(3106,14993)
v	(2042,12715)
w	(20042,91772)
x	(12,27)
y	(8390,31358)
z	(14,67)
