Date,Value
2018-04-09,6840.28
2018-04-06,6774.19
2018-04-05,6759.84
2018-04-04,6782.82
2018-04-03,6807.0
2018-03-29,6730.91
2018-03-28,6611.82
2018-03-27,6692.16
2018-03-26,6563.06
2018-03-23,6678.76
2018-03-22,6827.19
2018-03-21,6737.5
2018-03-20,6855.19
2018-03-19,6846.5
2018-03-16,6947.5
2018-03-15,6970.5
2018-03-14,6985.0
2018-03-13,6883.19
2018-03-12,6914.67
2018-03-09,6791.58
2018-03-08,6909.5
2018-03-07,6971.97
2018-03-06,6963.0
2018-03-05,6897.29
2018-03-02,6950.33
2018-03-01,6944.0
2018-02-28,6991.77
2018-02-27,7127.29
2018-02-26,7163.03
2018-02-23,7142.32
2018-02-22,7030.5
2018-02-21,7067.5
2018-02-20,7093.11
2018-02-19,7171.5
2018-02-16,7204.0
2018-02-15,7170.43
2018-02-14,7020.37
2018-02-13,6920.0
2018-02-12,6870.94
2018-02-09,6824.77
2018-02-08,6890.85
2018-02-07,7110.54
2018-02-06,7058.98
2018-02-05,7091.0
2018-02-02,7178.01
2018-02-01,7092.5
2018-01-31,7120.41
2018-01-30,7035.97
2018-01-29,7146.48
2018-01-26,7127.97
2018-01-25,7176.42
2018-01-24,6951.14
2018-01-23,7091.6
2018-01-22,7100.17
2018-01-19,7116.04
2018-01-18,7061.5
2018-01-17,7050.99
2018-01-16,7155.69
2018-01-15,7232.61
2018-01-12,7164.58
2018-01-11,7171.5
2018-01-10,7111.0
2018-01-09,7162.37
2018-01-08,7137.13
2018-01-05,7188.0
2018-01-04,7222.5
2018-01-03,7173.58
2018-01-02,7255.93
2017-12-29,7263.01
2017-12-28,7295.97
2017-12-27,7164.89
2017-12-22,7069.52
2017-12-21,7027.52
2017-12-20,6942.05
2017-12-19,6864.47
2017-12-18,6884.94
2017-12-15,6792.83
2017-12-14,6715.88
2017-12-13,6690.31
2017-12-12,6653.0
2017-12-08,6603.17
2017-12-07,6557.09
2017-12-06,6565.82
2017-12-05,6735.5
2017-12-04,6855.54
2017-12-01,6778.6
2017-11-30,6765.58
2017-11-29,6832.69
2017-11-28,6868.72
2017-11-27,6930.23
2017-11-24,6989.0
2017-11-23,6923.08
2017-11-22,6940.09
2017-11-21,6827.5
2017-11-20,6765.31
2017-11-17,6763.63
2017-11-16,6746.0
2017-11-15,6742.25
2017-11-14,6880.73
2017-11-13,6828.0
2017-11-10,6833.01
2017-11-09,6793.0
2017-11-08,6813.02
2017-11-07,6974.56
2017-11-06,6958.81
2017-11-03,6941.21
2017-11-02,6920.84
2017-11-01,6968.06
2017-10-31,6894.57
2017-10-30,6836.5
2017-10-27,6896.22
2017-10-26,6995.18
2017-10-25,6965.58
2017-10-24,7077.49
2017-10-23,6947.48
2017-10-20,7042.82
2017-10-19,6993.79
2017-10-18,7036.62
2017-10-17,7081.87
2017-10-16,7076.69
2017-10-13,6881.82
2017-10-12,6836.31
2017-10-11,6759.57
2017-10-10,6686.88
2017-10-09,6673.57
2017-10-06,6711.63
2017-10-05,6547.98
2017-10-04,6514.0
2017-10-03,6462.97
2017-10-02,6522.42
2017-09-29,6573.45
2017-09-28,6438.89
2017-09-27,6456.25
2017-09-26,6501.93
2017-09-25,6463.28
2017-09-22,6393.87
2017-09-21,6442.97
2017-09-20,6558.6
2017-09-19,6533.85
2017-09-18,6552.26
2017-09-15,6520.6
2017-09-14,6515.83
2017-09-13,6633.65
2017-09-12,6731.29
2017-09-11,6729.54
2017-09-08,6815.57
2017-09-07,6864.35
2017-09-06,6908.89
2017-09-05,6959.4
2017-09-04,6907.33
2017-09-01,6824.3
2017-08-31,6804.29
2017-08-30,6806.25
2017-08-29,6786.77
2017-08-25,6739.7
2017-08-24,6607.0
2017-08-23,6565.86
2017-08-22,6635.57
2017-08-21,6558.38
2017-08-18,6504.04
2017-08-17,6553.26
2017-08-16,6385.12
2017-08-15,6417.13
2017-08-14,6395.46
2017-08-11,6504.0
2017-08-10,6504.0
2017-08-09,6504.0
2017-08-08,6393.06
2017-08-07,6363.15
2017-08-04,6365.08
2017-08-03,6310.53
2017-08-02,6329.84
2017-08-01,6354.4
2017-07-31,6410.86
2017-07-28,6299.02
2017-07-27,6330.04
2017-07-26,6317.33
2017-07-25,6120.5
2017-07-24,5995.67
2017-07-21,6011.76
2017-07-20,5982.01
2017-07-19,5992.36
2017-07-18,5992.36
2017-07-17,5981.45
2017-07-14,5883.12
2017-07-13,5923.84
2017-07-12,5895.16
2017-07-11,5854.14
2017-07-10,5822.48
2017-07-07,5865.2
2017-07-06,5852.11
2017-07-05,5888.4
2017-07-04,5877.62
2017-07-03,5954.18
2017-06-30,5954.67
2017-06-29,5932.28
2017-06-28,5867.63
2017-06-27,5826.96
2017-06-26,5829.18
2017-06-23,5809.63
2017-06-22,5710.99
2017-06-21,5661.35
2017-06-20,5713.23
2017-06-19,5678.38
2017-06-16,5655.62
2017-06-15,5688.57
2017-06-14,5739.36
2017-06-13,5743.85
