Date,Value
2018-04-09,3226.27
2018-04-06,3238.37
2018-04-05,3246.3
2018-04-04,3254.29
2018-04-03,3268.69
2018-03-29,3304.82
2018-03-28,3266.02
2018-03-27,3290.16
2018-03-26,3207.69
2018-03-23,3211.83
2018-03-22,3260.5
2018-03-21,3197.99
2018-03-20,3240.13
2018-03-19,3232.9
2018-03-16,3238.44
2018-03-15,3232.45
2018-03-14,3286.92
2018-03-13,3263.0
2018-03-12,3264.94
2018-03-09,3199.54
2018-03-08,3261.46
2018-03-07,3296.06
2018-03-06,3300.93
2018-03-05,3338.02
2018-03-02,3424.38
2018-03-01,3465.31
2018-02-28,3478.96
2018-02-27,3534.62
2018-02-26,3530.0
2018-02-23,3502.98
2018-02-22,3459.57
2018-02-21,3544.8
2018-02-20,3549.0
2018-02-19,3550.5
2018-02-16,3578.5
2018-02-15,3573.27
2018-02-14,3465.01
2018-02-13,3423.24
2018-02-12,3389.82
2018-02-09,3395.5
2018-02-08,3390.2
2018-02-07,3484.67
2018-02-06,3484.38
2018-02-05,3518.91
2018-02-02,3552.24
2018-02-01,3514.82
2018-01-31,3534.0
2018-01-30,3523.05
2018-01-29,3550.86
2018-01-26,3444.71
2018-01-25,3467.64
2018-01-24,3387.5
2018-01-23,3425.93
2018-01-22,3416.39
2018-01-19,3400.82
2018-01-18,3375.39
2018-01-17,3390.45
2018-01-16,3395.83
2018-01-15,3421.74
2018-01-12,3402.12
2018-01-11,3364.71
2018-01-10,3321.3
2018-01-09,3396.61
2018-01-08,3360.32
2018-01-05,3363.29
2018-01-04,3331.19
2018-01-03,3319.37
2018-01-02,3312.22
2017-12-29,3294.15
2017-12-28,3285.87
2017-12-27,3243.19
2017-12-22,3240.95
2017-12-21,3221.76
2017-12-20,3223.27
2017-12-19,3170.15
2017-12-18,3213.84
2017-12-15,3190.55
2017-12-14,3150.0
2017-12-13,3154.33
2017-12-12,3121.83
2017-12-08,3105.46
2017-12-07,3097.08
2017-12-06,3085.65
2017-12-05,3169.19
2017-12-04,3218.3
2017-12-01,3165.3
2017-11-30,3143.38
2017-11-29,3152.78
2017-11-28,3151.06
2017-11-27,3179.5
2017-11-24,3238.5
2017-11-23,3221.14
2017-11-22,3229.36
2017-11-21,3161.5
2017-11-20,3159.5
2017-11-17,3155.14
2017-11-16,3138.0
2017-11-15,3128.17
2017-11-14,3213.94
2017-11-13,3226.0
2017-11-10,3193.46
2017-11-09,3182.9
2017-11-08,3171.25
2017-11-07,3216.82
2017-11-06,3240.72
2017-11-03,3242.04
2017-11-02,3242.84
2017-11-01,3259.43
2017-10-31,3242.33
2017-10-30,3196.78
2017-10-27,3172.89
2017-10-26,3215.49
2017-10-25,3153.53
2017-10-24,3159.26
2017-10-23,3113.9
2017-10-20,3130.9
2017-10-19,3092.0
2017-10-18,3097.31
2017-10-17,3150.78
2017-10-16,3273.34
2017-10-13,3260.3
2017-10-12,3232.8
2017-10-11,3255.46
2017-10-10,3216.77
2017-10-09,3264.12
2017-10-06,3293.4
2017-10-05,3284.27
2017-10-04,3284.86
2017-10-03,3229.5
2017-10-02,3161.37
2017-09-29,3166.66
2017-09-28,3112.8
2017-09-27,3139.76
2017-09-26,3126.41
2017-09-25,3075.06
2017-09-22,3021.62
2017-09-21,3078.49
2017-09-20,3119.65
2017-09-19,3095.65
2017-09-18,3063.64
2017-09-15,3011.93
2017-09-14,3010.27
2017-09-13,3061.04
2017-09-12,3089.82
2017-09-11,3089.78
2017-09-08,3086.16
2017-09-07,3079.37
2017-09-06,3102.74
