Date,Cash Buyer,Cash Seller & Settlement,3-months Buyer,3-months Seller,15-months Buyer,15-months Seller,Dec 1 Buyer,Dec 1 Seller,Dec 2 Buyer,Dec 2 Seller,Dec 3 Buyer,Dec 3 Seller
2018-04-09,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-04-06,1790.0,1800.0,1800.0,1810.0,,,1800.0,1810.0,,,,
2018-04-05,1760.0,1770.0,1800.0,1810.0,,,1800.0,1810.0,,,,
2018-04-04,1804.0,1806.0,1810.0,1820.0,,,1810.0,1820.0,,,,
2018-04-03,1800.0,1810.0,1810.0,1820.0,,,1810.0,1820.0,,,,
2018-03-29,1810.0,1820.0,1810.0,1820.0,,,1810.0,1820.0,,,,
2018-03-28,1800.0,1810.0,1810.0,1820.0,,,1810.0,1820.0,,,,
2018-03-27,1789.0,1791.0,1800.0,1810.0,,,1800.0,1810.0,,,,
2018-03-26,1765.0,1775.0,1780.0,1790.0,,,1780.0,1790.0,,,,
2018-03-23,1810.0,1820.0,1825.0,1835.0,,,1825.0,1835.0,,,,
2018-03-22,1835.0,1845.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-21,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-20,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-19,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-16,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-15,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-14,1840.0,1850.0,1850.0,1860.0,,,1850.0,1860.0,,,,
2018-03-13,1830.0,1840.0,1840.0,1850.0,,,1840.0,1850.0,,,,
2018-03-12,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-03-09,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-03-08,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-03-07,1855.0,1860.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-03-06,1850.0,1860.0,1860.0,1870.0,,,1860.0,1870.0,,,,
2018-03-05,1870.0,1880.0,1880.0,1890.0,,,1880.0,1890.0,,,,
2018-03-02,1825.0,1825.5,1860.0,1865.0,,,1860.0,1870.0,,,,
2018-03-01,1855.0,1865.0,1865.0,1875.0,,,1865.0,1875.0,,,,
2018-02-28,1820.0,1830.0,1830.0,1840.0,,,1830.0,1840.0,,,,
2018-02-27,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-02-26,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-02-23,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-02-22,1845.0,1855.0,1855.0,1865.0,,,1855.0,1865.0,,,,
2018-02-21,1864.0,1866.0,1855.0,1860.0,,,1855.0,1865.0,,,,
2018-02-20,1830.0,1840.0,1840.0,1850.0,,,1840.0,1850.0,,,,
2018-02-19,1830.0,1840.0,1840.0,1850.0,,,1845.0,1855.0,,,,
2018-02-16,1785.0,1795.0,1815.0,1825.0,,,1820.0,1830.0,,,,
2018-02-15,1770.0,1780.0,1780.0,1790.0,,,1785.0,1795.0,,,,
2018-02-14,1770.0,1771.0,1800.0,1805.0,,,1800.0,1810.0,,,,
2018-02-13,1790.0,1800.0,1800.0,1810.0,,,1805.0,1815.0,,,,
2018-02-12,1770.0,1780.0,1780.0,1790.0,,,1785.0,1795.0,,,,
2018-02-09,1785.0,1795.0,1820.0,1830.0,,,1825.0,1835.0,,,,
2018-02-08,1825.0,1835.0,1835.0,1845.0,,,1840.0,1850.0,,,,
2018-02-07,1835.0,1845.0,1855.0,1865.0,,,1860.0,1870.0,,,,
2018-02-06,1825.0,1835.0,1835.0,1845.0,,,1840.0,1850.0,,,,
2018-02-05,1815.0,1825.0,1825.0,1835.0,,,1830.0,1840.0,,,,
2018-02-02,1870.0,1880.0,1880.0,1890.0,,,1885.0,1895.0,,,,
2018-02-01,1860.0,1860.5,1870.0,1875.0,,,1875.0,1885.0,,,,
2018-01-31,1895.0,1905.0,1880.0,1890.0,,,1885.0,1895.0,,,,
2018-01-30,1950.0,1960.0,1965.0,1975.0,,,1970.0,1980.0,,,,
2018-01-29,1850.0,1860.0,1865.0,1875.0,,,1870.0,1880.0,,,,
2018-01-26,1815.0,1825.0,1830.0,1840.0,,,1835.0,1845.0,,,,
2018-01-25,1815.0,1825.0,1830.0,1840.0,,,1835.0,1845.0,,,,
2018-01-24,1810.0,1820.0,1825.0,1835.0,,,1830.0,1840.0,,,,
2018-01-23,1800.0,1810.0,1815.0,1825.0,,,1820.0,1830.0,,,,
