Date,Cash Buyer,Cash Seller & Settlement,3-months Buyer,3-months Seller,15-months Buyer,15-months Seller
2018-04-09,24000.0,26000.0,24000.0,26000.0,24985.0,25985.0
2018-04-06,24000.0,26000.0,24000.0,26000.0,24985.0,25985.0
2018-04-05,24000.0,26000.0,24000.0,26000.0,24990.0,25990.0
2018-04-04,24000.0,26000.0,24000.0,26000.0,24990.0,25990.0
2018-04-03,24000.0,26000.0,24000.0,26000.0,24990.0,25990.0
2018-03-29,24000.0,26000.0,24000.0,26000.0,24960.0,25960.0
2018-03-28,24000.0,26000.0,24000.0,26000.0,24965.0,25965.0
2018-03-27,23500.0,25500.0,23500.0,25500.0,24465.0,25465.0
2018-03-26,23000.0,25000.0,23000.0,25000.0,23965.0,24965.0
2018-03-23,22500.0,24500.0,22500.0,24500.0,23470.0,24470.0
2018-03-22,22000.0,24000.0,22000.0,24000.0,22970.0,23970.0
2018-03-21,21500.0,23500.0,21500.0,23500.0,22475.0,23475.0
2018-03-20,21000.0,23000.0,21000.0,23000.0,21975.0,22975.0
2018-03-19,20500.0,22500.0,20500.0,22500.0,21475.0,22475.0
2018-03-16,20000.0,22000.0,20000.0,22000.0,20980.0,21980.0
2018-03-15,19500.0,21500.0,19500.0,21500.0,20480.0,21480.0
2018-03-14,19000.0,21000.0,19000.0,21000.0,19985.0,20985.0
2018-03-13,18500.0,20500.0,18500.0,20500.0,19485.0,20485.0
2018-03-12,18000.0,18500.0,18000.0,18500.0,18235.0,19235.0
2018-03-09,17500.0,19500.0,17500.0,19500.0,18490.0,19490.0
2018-03-08,17000.0,19000.0,17000.0,19000.0,17990.0,18990.0
2018-03-07,16500.0,18500.0,16500.0,18500.0,17500.0,18500.0
2018-03-06,16000.0,18000.0,16000.0,18000.0,17000.0,18000.0
2018-03-05,15500.0,16000.0,15500.0,16000.0,15745.0,16745.0
2018-03-02,15500.0,16000.0,15500.0,16000.0,15750.0,16750.0
2018-03-01,15500.0,16000.0,15500.0,16000.0,15750.0,16750.0
2018-02-28,15500.0,16000.0,15500.0,16000.0,15720.0,16720.0
2018-02-27,15500.0,16000.0,15500.0,16000.0,15720.0,16720.0
2018-02-26,15500.0,16000.0,15500.0,16000.0,15725.0,16725.0
2018-02-23,15500.0,16000.0,15500.0,16000.0,15725.0,16725.0
2018-02-22,15500.0,16000.0,15500.0,16000.0,15725.0,16725.0
2018-02-21,15500.0,16000.0,15500.0,16000.0,15725.0,16725.0
